2026-03-16 13:41:39.681 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2026-03-16 13:41:39.690 INFO  [main] c.e.l.LearningPlanApplication - Starting LearningPlanApplication using Java 1.8.0_151 on DESKTOP-MVT8DLU with PID 11256 (D:\workspace\learning-plan-management\backend\target\classes started by lvh in D:\workspace\learning-plan-management)
2026-03-16 13:41:39.691 INFO  [main] c.e.l.LearningPlanApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-16 13:41:40.752 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-16 13:41:40.874 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 112 ms. Found 11 JPA repository interfaces.
2026-03-16 13:41:41.609 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-03-16 13:41:41.618 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-16 13:41:41.620 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-16 13:41:41.620 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-03-16 13:41:41.901 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-16 13:41:41.901 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2161 ms
2026-03-16 13:41:42.065 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-16 13:41:42.147 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2026-03-16 13:41:42.340 INFO  [main] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2026-03-16 13:41:42.481 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-16 13:41:43.362 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-16 13:41:43.389 INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2026-03-16 13:41:44.637 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2026-03-16 13:41:44.651 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-16 13:41:45.918 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3ec52163, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5b1cedfd, org.springframework.security.web.context.SecurityContextPersistenceFilter@c770b57, org.springframework.security.web.header.HeaderWriterFilter@5478597, org.springframework.web.filter.CorsFilter@1fe2c5ad, org.springframework.security.web.authentication.logout.LogoutFilter@63218586, com.example.learningplan.config.JwtAuthFilter@70044113, com.example.learningplan.config.OpLogFilter@572db5ee, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@55731ccd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@750adad8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6334c0d8, org.springframework.security.web.session.SessionManagementFilter@7fa86ddd, org.springframework.security.web.access.ExceptionTranslationFilter@74ed7111, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6447dc25]
2026-03-16 13:41:46.328 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-16 13:41:46.331 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-03-16 13:41:46.339 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-03-16 13:41:46.341 INFO  [main] o.a.catalina.core.StandardService - Stopping service [Tomcat]
2026-03-16 13:41:46.350 INFO  [main] o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2026-03-16 13:43:28.783 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2026-03-16 13:43:28.787 INFO  [main] c.e.l.LearningPlanApplication - Starting LearningPlanApplication using Java 1.8.0_151 on DESKTOP-MVT8DLU with PID 15544 (D:\workspace\learning-plan-management\backend\target\classes started by lvh in D:\workspace\learning-plan-management)
2026-03-16 13:43:28.788 INFO  [main] c.e.l.LearningPlanApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-16 13:43:29.536 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-16 13:43:29.633 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 87 ms. Found 11 JPA repository interfaces.
2026-03-16 13:43:30.324 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-03-16 13:43:30.351 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-16 13:43:30.353 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-16 13:43:30.353 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-03-16 13:43:30.622 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-16 13:43:30.622 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1797 ms
2026-03-16 13:43:30.782 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-16 13:43:30.832 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2026-03-16 13:43:30.991 INFO  [main] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2026-03-16 13:43:31.105 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-16 13:43:32.051 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-16 13:43:32.074 INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2026-03-16 13:43:33.334 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2026-03-16 13:43:33.345 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-16 13:43:34.891 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3ca5da54, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@57a0aeb8, org.springframework.security.web.context.SecurityContextPersistenceFilter@6334c0d8, org.springframework.security.web.header.HeaderWriterFilter@724e0a77, org.springframework.web.filter.CorsFilter@45f70f68, org.springframework.security.web.authentication.logout.LogoutFilter@6d2f910b, com.example.learningplan.config.JwtAuthFilter@bae5e58, com.example.learningplan.config.OpLogFilter@7890fbf9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@48224381, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@41e43885, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@16e3d6d0, org.springframework.security.web.session.SessionManagementFilter@3ec52163, org.springframework.security.web.access.ExceptionTranslationFilter@7c816f46, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@288915a1]
2026-03-16 13:43:35.451 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-16 13:43:35.471 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-03-16 13:43:35.481 INFO  [main] c.e.l.LearningPlanApplication - Started LearningPlanApplication in 7.187 seconds (JVM running for 8.482)
2026-03-16 13:52:51.548 INFO  [http-nio-8080-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-16 13:52:51.549 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-16 13:52:51.550 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-03-16 14:30:13.105 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2026-03-16 14:30:13.108 INFO  [main] c.e.l.LearningPlanApplication - Starting LearningPlanApplication using Java 1.8.0_151 on DESKTOP-MVT8DLU with PID 9892 (D:\workspace\learning-plan-management\backend\target\classes started by lvh in D:\workspace\learning-plan-management)
2026-03-16 14:30:13.109 INFO  [main] c.e.l.LearningPlanApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-16 14:30:13.930 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-16 14:30:14.020 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 79 ms. Found 11 JPA repository interfaces.
2026-03-16 14:30:14.674 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-03-16 14:30:14.683 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-16 14:30:14.685 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-16 14:30:14.685 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-03-16 14:30:14.901 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-16 14:30:14.902 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1752 ms
2026-03-16 14:30:15.044 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-16 14:30:15.101 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2026-03-16 14:30:15.282 INFO  [main] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2026-03-16 14:30:15.412 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-16 14:30:16.179 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-16 14:30:16.202 INFO  [main] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2026-03-16 14:30:17.227 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2026-03-16 14:30:17.238 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-16 14:30:18.388 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@aca2a0b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@79080255, org.springframework.security.web.context.SecurityContextPersistenceFilter@13e6c544, org.springframework.security.web.header.HeaderWriterFilter@4425b6ed, org.springframework.web.filter.CorsFilter@2cdb53d6, org.springframework.security.web.authentication.logout.LogoutFilter@54cce500, com.example.learningplan.config.JwtAuthFilter@37d3e740, com.example.learningplan.config.OpLogFilter@7e017f47, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3b3b2290, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@47d7e4b6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@62ba3045, org.springframework.security.web.session.SessionManagementFilter@69d2c460, org.springframework.security.web.access.ExceptionTranslationFilter@36ce9eaf, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@16257f8c]
2026-03-16 14:30:18.811 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-16 14:30:18.830 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-03-16 14:30:18.839 INFO  [main] c.e.l.LearningPlanApplication - Started LearningPlanApplication in 6.304 seconds (JVM running for 7.778)
2026-03-16 14:30:26.200 INFO  [http-nio-8080-exec-3] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-16 14:30:26.200 INFO  [http-nio-8080-exec-3] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-16 14:30:26.203 INFO  [http-nio-8080-exec-3] o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2026-03-16 15:29:07.523 INFO  [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-16 15:29:07.533 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-03-16 15:29:07.542 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-03-16 15:33:45.783 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2026-03-16 15:33:45.789 INFO  [main] c.e.l.LearningPlanApplication - Starting LearningPlanApplication using Java 1.8.0_151 on DESKTOP-MVT8DLU with PID 38200 (D:\workspace\learning-plan-management\backend\target\classes started by lvh in D:\workspace\learning-plan-management)
2026-03-16 15:33:45.790 INFO  [main] c.e.l.LearningPlanApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-16 15:33:46.690 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-16 15:33:46.788 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 86 ms. Found 11 JPA repository interfaces.
2026-03-16 15:33:47.483 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-03-16 15:33:47.492 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-16 15:33:47.494 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-16 15:33:47.494 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-03-16 15:33:47.701 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-16 15:33:47.701 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1863 ms
2026-03-16 15:33:47.854 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-16 15:33:47.921 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
